Local Authority District code (2019),Local Authority District name (2019),Income - Average rank,Income - Rank of average rank,Income - Average score,Income - Rank of average score,Income - Proportion of LSOAs in most deprived 10% nationally,Income - Rank of Proportion of LSOAs in most deprived 10% nationally,Income - Scale,Income - Rank of scale,Unnamed: 10,Employment - Average rank,Employment - Rank of average rank,Employment - Average score,Employment - Rank of average score,Employment - Proportion of LSOAs in most deprived 10% nationally,Employment - Rank of proportion of LSOAs in most deprived 10% nationally,Employment - Scale,Employment - Rank of scale,Unnamed: 19,"Education, Skills and Training - Average rank","Education, Skills and Training - Rank of average rank","Education, Skills and Training - Average score","Education, Skills and Training - Rank of average score","Education, Skills and Training - Proportion of LSOAs in most deprived 10% nationally","Education, Skills and Training - Rank of proportion of LSOAs in most deprived 10% nationally",Unnamed: 26,Health Deprivation and Disability - Average rank,Health Deprivation and Disability - Rank of average rank,Health Deprivation and Disability - Average score,Health Deprivation and Disability - Rank of average score,Health Deprivation and Disability - Proportion of LSOAs in most deprived 10% nationally,Health Deprivation and Disability - Rank of proportion of LSOAs in most deprived 10% nationally,Unnamed: 33,Crime - Average rank,Crime - Rank of average rank,Crime - Average score,Crime - Rank of average score,Crime - Proportion of LSOAs in most deprived 10% nationally,Crime - Rank of proportion of LSOAs in most deprived 10% nationally,Unnamed: 40,Barriers to Housing and Services - Average rank,Barriers to Housing and Services - Rank of average rank,Barriers to Housing and Services - Average score,Barriers to Housing and Services - Rank of average score,Barriers to Housing and Services - Proportion of LSOAs in most deprived 10% nationally,Barriers to Housing and Services - Rank of proportion of LSOAs in most deprived 10% nationally,Unnamed: 47,Living Environment - Average rank,Living Environment - Rank of average rank,Living Environment - Average score,Living Environment - Rank of average score,Living Environment - Proportion of LSOAs in most deprived 10% nationally,Living Environment - Rank of proportion of LSOAs in most deprived 10% nationally
E09000011,Greenwich,21413.39,39,0.159,57,0.0596,120,43334,43,,18637.72,90,0.102,107,0.0199,166,17715.5,51,,14736.5,193,15.639,218,0.0,243,,16405.44,132,-0.021,134,0.0066,169,,22514.66,36,0.457,45,0.0927,91,,26085.3,17,32.314,17,0.298,20,,20159.67,73,24.635,92,0.0331,170
E09000012,Hackney,24634.73,5,0.196,19,0.1944,40,52473,23,,20677.29,57,0.114,75,0.0347,139,21033.5,31,,13748.71,214,14.972,229,0.0069,239,,21637.86,67,0.371,75,0.0208,139,,24250.45,15,0.621,20,0.2292,30,,31221.78,3,42.745,4,0.9375,2,,26058.36,14,36.053,21,0.1667,55
E09000013,Hammersmith and Fulham,19094.27,78,0.142,88,0.0708,108,25704,94,,16749.6,130,0.094,133,0.0177,170,11701.75,92,,8311.52,299,8.141,300,0.0,243,,16097.84,137,-0.05,141,0.0088,163,,21048.91,58,0.34,63,0.0619,110,,23737.61,30,28.264,34,0.0708,150,,26012.37,16,35.009,25,0.1416,68
E09000014,Haringey,21844.21,31,0.17,42,0.131,66,45603,38,,18938.84,83,0.106,93,0.0483,130,18886.75,45,,15035.52,184,17.6,190,0.0,243,,15019.95,154,-0.128,157,0.0069,168,,25422.81,9,0.732,11,0.2552,25,,28056.13,9,35.08,12,0.3793,13,,25874.06,17,34.361,30,0.069,123
E09000015,Harrow,16269.79,132,0.109,156,0.0,201,26735,90,,12069.09,220,0.067,227,0.0,209,9792.0,109,,8315.35,298,8.044,301,0.0,243,,4759.98,298,-1.04,293,0.0,173,,14342.34,166,-0.143,163,0.0,201,,27314.47,14,33.882,15,0.2774,24,,16503.93,127,18.953,156,0.0,251
E09000016,Havering,15178.08,159,0.108,162,0.0267,167,26766,89,,14074.24,183,0.078,186,0.0067,204,11171.25,97,,19190.2,95,22.594,126,0.0267,198,,9832.92,222,-0.538,223,0.0,173,,18056.27,97,0.13,100,0.04,143,,18308.74,118,22.713,136,0.04,184,,14618.78,166,16.749,190,0.0,251
E09000017,Hillingdon,16509.21,126,0.114,142,0.0062,199,33575,67,,13767.66,188,0.075,197,0.0,209,13440.25,76,,15003.75,185,16.402,209,0.0,243,,11646.64,194,-0.379,193,0.0,173,,19392.72,83,0.235,81,0.0683,105,,23978.65,28,29.628,27,0.1615,64,,17275.15,117,20.298,136,0.0062,250
E09000018,Hounslow,18673.16,86,0.129,111,0.0141,186,34173,64,,14821.52,169,0.079,183,0.007,200,13243.75,77,,12471.62,239,13.287,247,0.0,243,,12989.84,181,-0.27,182,0.0,173,,21438.87,55,0.373,61,0.0845,95,,27890.83,12,35.101,11,0.4225,11,,23240.4,36,29.818,48,0.0563,142
E09000019,Islington,23301.63,17,0.179,35,0.1057,79,40551,47,,20245.78,63,0.111,84,0.0732,105,18240.5,48,,12332.79,244,12.483,255,0.0,243,,20276.46,82,0.274,89,0.0081,166,,24433.6,13,0.607,21,0.1545,48,,24133.67,27,28.204,35,0.0325,197,,26061.4,13,35.373,23,0.1789,52
E09000020,Kensington and Chelsea,13962.46,187,0.117,137,0.165,48,18502,122,,12503.41,211,0.08,179,0.1068,84,8196.5,126,,5295.13,313,5.192,315,0.0,243,,6985.2,270,-1.243,307,0.0,173,,20751.84,64,0.331,68,0.0971,87,,28556.95,7,36.056,9,0.4369,10,,28690.63,3,42.014,6,0.4078,13
E09000021,Kingston upon Thames,11391.55,236,0.078,242,0.0102,192,13293,166,,8638.4,281,0.053,282,0.0,209,5718.75,181,,7002.71,306,6.938,307,0.0,243,,5470.76,289,-0.963,287,0.0,173,,11848.62,207,-0.332,205,0.0,201,,20641.26,60,24.744,83,0.0306,200,,20231.1,72,24.718,90,0.0204,198
E09000022,Lambeth,20983.21,45,0.153,70,0.0449,137,48928,31,,17311.65,118,0.093,136,0.0112,187,21179.0,30,,10677.91,267,10.493,280,0.0,243,,18598.8,99,0.148,103,0.0225,136,,23226.8,26,0.532,29,0.1348,59,,24286.77,26,28.43,31,0.0337,195,,28937.77,2,44.402,3,0.4438,11
E09000023,Lewisham,22217.2,28,0.164,50,0.0592,122,48333,33,,19341.96,76,0.104,99,0.0296,146,20378.0,37,,13445.41,223,13.911,239,0.0,243,,17636.21,115,0.067,120,0.0059,171,,21786.68,50,0.402,57,0.0651,109,,27807.6,13,34.751,13,0.3846,12,,26197.0,11,36.405,20,0.213,40
E09000024,Merton,14087.03,184,0.1,181,0.0161,181,20586,114,,10933.53,241,0.064,238,0.0,209,8321.75,124,,9047.18,288,9.184,290,0.0,243,,9260.79,234,-0.615,243,0.0,173,,15738.49,139,-0.051,136,0.0161,181,,17907.64,128,22.234,145,0.0161,220,,23193.15,38,29.557,50,0.0403,162
E09000025,Newham,23167.95,19,0.169,44,0.0427,142,56769,15,,17778.79,107,0.093,137,0.0122,185,20831.75,35,,17121.36,134,17.775,186,0.0,243,,16231.92,136,-0.03,135,0.0061,170,,22834.54,29,0.497,35,0.1098,77,,32336.57,1,49.306,1,1.0,1,,24540.7,25,32.471,40,0.0976,93
E09000026,Redbridge,17685.45,110,0.121,132,0.0186,177,35863,58,,13372.14,195,0.072,208,0.0062,206,13017.25,80,,11277.83,260,11.126,270,0.0,243,,7444.13,265,-0.74,261,0.0,173,,20354.91,71,0.295,71,0.0559,120,,23376.2,31,27.979,36,0.0745,144,,20635.31,67,25.177,82,0.0186,205
E09000027,Richmond upon Thames,8767.33,285,0.064,283,0.0,201,12371,179,,7627.27,297,0.05,291,0.0087,196,5816.0,177,,3528.68,317,3.534,317,0.0,243,,3290.64,310,-1.373,311,0.0,173,,15404.28,146,-0.07,146,0.0087,197,,12828.79,242,17.494,242,0.0,250,,21705.84,55,26.621,69,0.0,251
E09000028,Southwark,21355.01,40,0.162,54,0.0783,102,49900,29,,17890.86,106,0.097,123,0.006,207,20959.5,33,,11263.58,262,11.086,271,0.0,243,,18240.14,107,0.112,112,0.012,156,,22487.67,37,0.475,40,0.1506,52,,26853.83,16,32.727,16,0.1867,50,,26080.04,12,35.982,22,0.1867,48
E09000029,Sutton,13312.01,199,0.095,197,0.0248,169,18870,118,,12008.15,223,0.07,217,0.0248,154,8299.25,125,,11318.19,259,11.953,263,0.0083,238,,9551.49,225,-0.57,232,0.0,173,,14074.43,172,-0.174,172,0.0,201,,18566.66,110,22.792,134,0.0083,239,,17857.32,105,21.317,126,0.0083,245
E09000030,Tower Hamlets,23902.93,10,0.192,23,0.1528,55,56191,16,,18064.19,101,0.1,114,0.0069,202,20889.5,34,,15428.02,176,16.934,201,0.0069,239,,19333.3,95,0.195,98,0.0139,151,,22835.7,28,0.509,33,0.2153,35,,25818.11,19,30.491,24,0.0694,153,,24554.12,24,33.213,36,0.1389,71
E09000031,Waltham Forest,21174.56,43,0.152,72,0.0694,111,41052,46,,17533.2,111,0.093,135,0.0208,160,16108.0,61,,16218.85,155,16.968,199,0.0,243,,14437.26,161,-0.161,162,0.0,173,,21961.66,46,0.406,56,0.0417,137,,28669.29,6,36.465,7,0.4792,8,,25529.84,19,34.303,33,0.1667,55
E09000032,Wandsworth,15134.72,162,0.107,167,0.0168,180,33856,65,,11027.84,238,0.064,241,0.0,209,14180.0,72,,6838.04,308,6.649,308,0.0,243,,11755.78,193,-0.388,196,0.0,173,,17975.9,101,0.118,103,0.0335,152,,22221.17,39,26.981,47,0.095,122,,24522.77,26,32.499,39,0.0838,107
E09000033,Westminster,16667.53,121,0.135,101,0.1094,76,32018,73,,14096.2,182,0.088,160,0.1016,87,14187.5,71,,8630.05,293,8.535,297,0.0,243,,9103.58,238,-0.855,272,0.0078,167,,17774.94,105,0.105,106,0.0703,102,,19435.9,83,23.114,129,0.0,250,,27971.66,4,40.92,8,0.375,17
