Code,Area,2002,Unnamed: 3,2003,Unnamed: 5,2004,Unnamed: 7,2005,Unnamed: 9,2006,Unnamed: 11,2007,Unnamed: 13,2008,Unnamed: 15,2009,Unnamed: 17,2010,Unnamed: 19,2011,Unnamed: 21,2012,Unnamed: 23,2013,Unnamed: 25,2014,Unnamed: 27,2015,Unnamed: 29,2016,Unnamed: 31,2017,Unnamed: 33,2018,Unnamed: 35,2019,Unnamed: 37,2020,Unnamed: 39,2021,Unnamed: 41,2022,Unnamed: 43,2023,Unnamed: 45,2024,Unnamed: 47
00AJ,Ealing,11.54,3.8,11.82,3.9,11.93,3.8,11.66,4.4,12.44,3.9,12.48,3.6,13.45,3.9,13.27,3.7,13.44,3.5,13.56,3.1,13.47,3.6,13.74,3.4,13.58,3.7,13.14,3.8,13.52,3.7,13.56,4,14.53,4.1,14.57,3.7,15.26,4.3,16.02,4.2,16.74,3.8,16.78,3.7,18.59,3.7
00AK,Enfield,9.97,4.9,10.4,4.5,10.78,4.5,11.38,4.9,11.65,4.7,12.5,3.5,11.99,4,12.43,3.7,12.55,4.3,13.05,3.7,13.01,4.4,12.52,3.6,12.83,3.7,12.92,4.5,12.74,4.1,13.41,4.1,12.65,4.5,13.67,4.6,14.66,5.9,14.73,5.4,15.63,5.3,16.91,4.3,19.12,4.8
00AL,Greenwich,11.21,5.5,11.97,5.1,12.23,5.1,11.71,5.6,12.41,4.4,12.38,5,13.27,6,14.35,4.4,13.79,4.1,13.88,4.7,13.33,4.8,14.31,4.3,13.96,4.7,14.68,4.6,14.99,4.2,15.5,4.4,15.79,4,15.85,4.8,15.76,5.5,16.89,5.3,17.62,4.5,19.41,4.3,20.03,4.4
00AM,Hackney,10.81,6.4,10.79,5.9,11.25,6,12.64,6,11.7,5,12.22,6.2,12.88,5.9,13.91,3.9,14.13,4.8,14.43,3.9,14.09,4.7,14.35,4.3,14.58,4.3,14.53,3.2,14.37,3.1,15.23,3.8,15.61,4.4,16.34,4.9,16.75,6.3,16.23,6.6,18.55,5.6,19.16,4.6,20.8,4.5
00AN,Hammersmith and Fulham,13.31,7.4,13.55,5.5,13.82,6.9,13.36,5.1,15.22,5.5,15.15,6.8,15.84,6.1,15.98,5.7,16.27,4.4,16.1,5.9,16.78,5.5,16.56,5.5,16.78,4.4,17.46,5.5,17.82,5.1,17.95,4.1,18.72,5.2,19.78,4.2,20.78,5.2,20.65,5.5,19.89,7,21.05,6.6,21.63,4.9
00AP,Haringey,10.72,6.3,11.86,5.2,11.93,5.5,12.19,4.7,12.99,4.7,12.71,5.2,13.14,5,13.67,4.2,13.42,4.4,13.13,4.8,13.63,5.1,13.4,5,13.17,5.2,13.42,5,13.98,5,14.9,5.4,15.39,5.2,16.14,5.4,16.25,7,16.35,6,17.15,4.6,18.93,5.4,19.7,4.8
00AQ,Harrow,10.5,5.3,11.14,4.8,11.3,5.1,11.79,3.7,12.09,4.7,12.64,5.3,13.09,6.8,14.44,5,14.28,5.6,13.37,6.1,13.53,5.7,13.39,4.9,14.25,5.4,13.84,4.8,15.27,5,15.33,5.1,15.33,5.1,16.73,4.4,17.86,6.3,16.76,6.3,18.13,6.5,17.63,6.3,19.54,5.4
00AR,Havering,10.89,5.8,11.22,4.1,12.4,5.6,12.84,4.6,12.13,5.3,12.99,5.9,13.79,5.1,13.74,3.7,13.72,4,14.3,3.8,13.95,4.2,13.72,3.9,13.72,4.1,14.45,3.6,14.69,3.9,14.79,4.1,15.06,4.6,15.34,4,16.2,5.2,16.99,5,16.76,4.4,18.33,4.9,19.19,4
00AS,Hillingdon,10.54,4,10.97,4.1,11.33,4.9,11.58,4.1,12,4.3,12.69,4.9,12.74,4.2,12.96,3.8,13.57,3.6,13.32,4.2,14.02,3.3,13.95,3.3,13.41,3.3,13.96,3.8,13.62,3.5,13.68,3.8,14.31,4,14.44,4,15.45,6,16.62,4.4,17.16,4.8,18.91,4.4,18.87,4
00AT,Hounslow,10.31,4.7,10.51,4.3,10.79,4.4,11,5.3,11.05,4.2,12.01,4.5,11.58,4.2,12.56,3.6,12.89,4,12.59,3.6,12.74,4.4,12.96,4.2,12.86,4.4,12.98,3.7,13.5,4,13.89,3.4,14.29,3.5,14.67,4.1,14.37,4.8,15.09,4.4,15.93,5.7,17.05,4.4,17.76,4.3
00AU,Islington,12.57,6.1,13.95,6,13.95,5.6,14.46,5.4,14.68,5.5,14.85,6.2,15.54,5.1,16.05,4.7,16.31,4.1,16.72,5.2,16.73,5,16.6,4.6,16.47,5.7,16.48,4.1,17.36,4.9,18.46,4.5,19.56,5.1,19.59,4.5,20.58,7.4,19.84,7.5,20.22,4.6,21.83,4.7,23.13,4.5
00AW,Kensington and Chelsea,16.67,11,17.52,9.9,19.93,11,20.13,8.5,18.66,11,18.67,11,22.65,9.1,22.85,12,21.51,12,21.57,10,18.59,10,20.07,9.6,18.3,12,18.13,9.8,17.2,6.2,21.29,8.5,20.04,11,21.13,11,22.6,11,22.6,11,20.24,8.8,24.42,10,23.99,8.8
00AX,Kingston upon Thames,11.89,6.6,12.18,6.8,12.15,6.4,12.91,6.4,13.87,5.6,15.08,6.3,14.87,6,15.66,5.8,14.95,6,16.73,5.8,16.43,5.6,16.87,5.1,16.62,6.2,16.55,5.7,16.61,5.1,16.3,5.6,18.05,5.9,18.05,6.3,17.79,7.7,18.66,7.9,18.16,7.5,18.79,7.7,20.42,5.7
00AY,Lambeth,10.99,5.6,12.31,5.2,12.28,4,12.74,4.6,12.22,4.4,13.65,4.5,13.46,4.2,14.88,4.4,16.03,3.5,15.03,4.5,15.43,4,14.8,4,14.97,3.6,14.72,3.9,15.26,3.8,16.42,3.4,16.61,3.5,17.47,3.6,18.53,4.4,18.35,4.7,19.22,3.6,21.86,3.9,22.31,3.7
00AZ,Lewisham,10.88,5.8,11.58,5.2,12.01,5.7,11.87,5.1,11.4,3.9,11.67,5,12.4,4.6,13.24,3.8,13.52,3.4,13.22,3.7,14.02,4.2,15.09,4.1,14.57,3.1,14.72,3.9,14.96,4.1,15.43,3.6,15.33,4,15.33,3.6,16.48,5.1,16.59,4.9,16.9,5,19.02,3.9,19.87,4.3
00BA,Merton,11.81,5,11.85,5.2,12.23,5.3,13.69,4.9,12.61,4.1,13.75,4.8,14.28,5.1,14.68,4.5,14.96,5.6,15.06,5.6,14.4,5.5,14.65,5.9,15.08,4.2,14.94,4.6,15.6,4.3,16.02,4.3,16.4,4.9,16.58,5.1,16.71,6.2,16.53,6.9,16.83,6.3,20.93,4.4,20.23,5.6
00BB,Newham,8.55,4.3,8.87,4,9.64,4.9,10.09,4.2,10.28,3.8,10.37,4.7,10.96,4.4,11.15,4.6,10.99,5,10.13,4.1,10.51,4.6,10.96,4.5,10.55,4,10.89,4.4,11.5,3.7,12.77,4.2,12.73,4.1,13.89,4.1,14.86,5.6,15.9,4.6,15.39,4.8,16.78,4.5,16.96,2.9
00BC,Redbridge,11.34,5.5,12.13,5.8,11.77,5.7,11.55,6.6,12.81,5.6,13.73,5,14.68,5.1,14.6,5.8,14.23,6,13.9,4.9,15.24,5.3,14.62,4.7,14.39,4.3,14.68,5.4,14.44,5,15.42,4.5,14.81,4.5,15.34,5.6,16.7,5.4,16.15,7.1,15.83,6,17.95,5.5,18.82,4.2
00BD,Richmond upon Thames,15.81,4.5,15.98,5.7,16.55,5.6,16.48,5,16.9,4.5,17.13,6.6,18.41,7,17.7,5.2,18.07,5.8,19.3,4.9,19.26,4.7,19.08,4.7,18.95,5.3,18.32,4.8,19.76,5.7,19.12,6.5,19.23,5.3,19.98,5.5,21.25,9.2,19.44,6.2,20.44,7.8,21.36,8.1,24.15,7.4
00BE,Southwark,10.67,6.6,11.35,5.2,11.25,5.2,11.85,4.9,12.29,5.2,12.76,5.5,13.79,5.3,14.52,4.2,14.45,5,14.37,3.8,14.82,3.9,14.59,4,14.5,4.3,15.37,3.9,15.25,4.5,16.14,3.4,16.37,4.1,17.24,3.7,17.97,5.1,18.17,4.6,19.17,4,20.42,4.1,21.47,3.2
00BF,Sutton,11.2,4,11.53,3.9,11.51,4.1,11.8,4.4,12.58,3.9,12.87,4.8,13.36,6.3,14.08,4.4,13.74,3.8,13.68,4.2,14.38,4.2,14.63,4,14.22,3.7,14.5,3.6,14.88,4,15.02,3.9,15.67,4.5,16.18,4.8,15.96,6.2,16.83,5.1,16.57,6.9,18.18,5.3,19.9,4.7
00BG,Tower Hamlets,11.83,5.8,12.2,5.5,13.08,6.8,13.6,3.9,13.35,4.5,14.79,4.5,14.83,5.9,15.41,4.3,15.64,3.8,15.28,4.4,15.55,4.4,15.93,3.6,16.16,4.1,15.05,5.2,15.66,5.3,16.86,5,17.25,4.8,19.15,3.1,19.16,4.9,19.57,4.1,19.6,4.1,21.4,3.7,20.96,4.5
00BH,Waltham Forest,10.57,5.4,11.6,4.4,11.54,4.6,11.39,5,11.54,5.2,12.07,5.5,12.43,5.2,12.94,4.5,12.88,4.8,12.5,3.7,12.62,4.6,12.39,4.2,12.26,4.6,12.87,4.8,13.31,3.9,13.47,4.6,14.37,4.3,15.44,5.2,16.51,6.2,17.6,4.3,17.89,4.4,18.49,4.4,19.84,4.7
00BJ,Wandsworth,13.71,4.5,13.65,4.1,13.95,4.4,14.8,3.8,15.33,3.1,15.56,3.8,16.8,4.1,17.6,4.2,17.71,3.3,17.86,3.6,17.53,3.6,17.91,3.5,17.89,3.4,18.13,3.8,19.11,3.2,18.93,3.7,19.6,4.2,20.5,4.2,20.63,6.2,20.64,5.6,23,5.3,23.06,5,23.07,4.4
00BK,Westminster,12.89,6.2,13.71,7.8,15.15,7.6,15.33,5.8,16.38,5.7,17.25,5.9,18.38,5.6,17.6,7.3,19.47,7.1,18.69,6.2,19.36,6.7,17.12,6.2,17.87,5.5,18.4,6.9,17.93,5.1,19.95,6.1,20.59,5.5,19.14,6.6,20.2,9.5,21.52,6.7,20.56,6.6,21.11,7.3,21.99,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,North East,7.62,1.3,7.94,1.2,8.22,1.5,8.58,1.2,8.8,1.1,9.2,1.3,9.5,1.2,9.96,1,10.08,1,10.16,1.2,10.35,1,10.7,1.3,10.77,1.1,11.06,1.2,11.22,1.2,11.57,1.2,11.74,1.1,12.07,1.1,12.47,1.3,12.8,1.2,13.51,1.1,14.5,0.8,15.33,1
B,North West,8.18,0.8,8.5,0.8,8.79,0.8,9.13,0.8,9.43,0.8,9.73,0.9,10.02,0.9,10.33,0.7,10.49,0.7,10.29,0.7,10.52,0.8,10.87,0.7,10.86,0.7,11.09,0.7,11.43,0.7,11.69,0.8,11.97,0.7,12.6,0.7,12.94,0.8,13.24,0.7,13.92,0.7,15.25,0.7,16.38,0.7
D,Yorkshire and The Humber,7.83,0.9,8.23,0.9,8.53,1,8.77,0.9,9.1,0.8,9.5,0.9,9.72,1,10.08,0.8,10.28,0.8,10.2,0.9,10.31,0.8,10.55,0.9,10.56,0.7,10.81,0.9,11.13,0.8,11.29,0.8,11.69,0.7,12.25,0.7,12.52,0.9,12.99,0.8,13.62,0.8,14.77,0.8,15.98,0.8
E,East Midlands,8.01,0.9,8.39,0.9,8.64,0.9,9.03,0.9,9.37,1,9.49,0.9,9.91,0.9,10.23,1,10.29,1,10.32,0.9,10.51,1,10.77,1,10.83,0.8,10.94,0.8,11.29,0.9,11.57,0.8,11.78,0.8,12.36,0.7,12.93,0.8,13.21,0.9,13.86,0.9,14.97,0.9,16.03,0.8
F,West Midlands,8.13,0.8,8.45,0.8,8.74,0.9,9.07,0.8,9.37,0.9,9.64,0.9,9.96,1,10.33,0.8,10.45,0.9,10.34,0.8,10.52,0.9,10.84,0.8,10.86,0.8,11.02,0.8,11.43,0.7,11.65,0.7,11.98,0.9,12.44,0.7,12.86,1,13.26,0.9,14.01,0.9,15.24,0.7,16,0.8
G,East,8.93,1,9.38,0.9,9.69,1.2,9.92,0.9,10.2,1,10.62,0.9,11,1.2,11.39,1,11.5,0.9,11.52,0.9,11.67,0.9,12.14,0.8,12,0.9,12.02,0.9,12.59,0.8,12.92,0.8,13.17,0.8,13.75,0.9,14.22,0.8,14.37,0.7,15.22,0.8,16.48,0.9,17.58,0.8
H,London,11.35,0.7,11.83,0.8,12.08,0.8,12.5,0.8,12.78,0.8,13.25,0.8,13.8,0.9,14.31,0.7,14.31,0.6,14.31,0.7,14.53,0.7,14.55,0.7,14.5,0.7,14.57,0.7,14.95,0.7,15.55,0.8,15.87,0.8,16.48,0.7,16.98,1,17.41,0.9,18.04,0.8,19.17,0.8,20.27,0.6
J,South East,9.72,0.7,10.13,0.7,10.44,0.7,10.51,0.7,10.88,0.7,11.32,0.8,11.79,0.8,12.16,0.6,12.35,0.6,12.49,0.6,12.69,0.7,12.74,0.6,12.94,0.6,13.13,0.6,13.43,0.6,13.67,0.7,14.04,0.6,14.53,0.6,14.72,0.9,15.38,0.7,16.01,0.8,17.17,0.6,18.4,0.6
K,South West,8,0.9,8.47,0.8,8.7,0.9,9,0.8,9.41,0.9,9.64,1,10.06,1,10.48,0.9,10.53,0.8,10.5,0.8,10.68,0.8,10.93,0.9,11,0.9,11.24,0.7,11.56,0.8,11.88,0.9,12.12,0.7,12.65,0.8,12.91,0.8,13.32,0.8,14.37,0.7,15.49,0.8,16.43,0.7
924,Wales,7.75,1.3,8.08,1.3,8.56,1.4,8.86,1.1,9.18,1,9.38,1,9.67,1.3,10.1,1.2,10.22,1.2,10.07,0.9,10.19,1,10.58,1.2,10.78,1,10.85,1.2,11.31,1.1,11.41,1.1,11.67,0.9,12.36,0.9,12.69,1.3,13.1,1.1,14.02,1.1,15.08,0.9,16.13,1
923,Scotland,8.26,1,8.52,0.9,8.76,0.9,9.18,0.8,9.53,0.8,9.95,0.9,10.39,0.9,10.86,0.8,11.01,0.7,11.05,0.8,11.15,0.8,11.55,0.8,11.72,0.9,11.97,0.8,12.27,0.8,12.55,0.8,12.88,0.8,13.42,0.8,14.24,0.9,14.35,0.7,15.03,0.8,16.73,0.6,17.57,0.8
922,Northern Ireland,7.65,1.7,7.96,1.5,8.34,1.8,8.81,1.8,9.08,1.5,9.11,1.5,9.54,1.3,10,1.6,9.78,1.4,9.93,1.5,10.07,1.2,10.3,1.4,10.2,1.3,10.63,1.7,10.81,1.5,11.06,1.4,11.45,1.4,11.83,1.3,12,1.4,12.81,1.1,13.5,1.3,14.41,1.1,15.32,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,England and Wales,8.69,0.2,9.07,0.2,9.38,0.2,9.66,0.2,10,0.1,10.32,0.2,10.72,0.2,11.1,0.2,11.23,0.2,11.18,0.2,11.37,0.2,11.67,0.2,11.68,0.2,11.83,0.2,12.23,0.2,12.51,0.1,12.81,0.2,13.35,0.2,13.77,0.2,14.16,0.2,14.84,0.2,16,0.2,17.13,0.2
926,United Kingdom,8.62,0.1,8.95,0.2,9.26,0.2,9.56,0.1,9.91,0.2,10.23,0.1,10.62,0.2,11.02,0.1,11.14,0.1,11.14,0.1,11.28,0.2,11.59,0.2,11.61,0.2,11.78,0.1,12.16,0.2,12.47,0.1,12.77,0.1,13.28,0.2,13.71,0.2,14.12,0.2,14.79,0.2,16,0.1,17.09,0.1
